"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"64986",200,100,0,86,0.1,"Zinck",0.166666666666667,0.5,18
"64987",200,100,0,87,0.1,"Zinck",0.24,0.633333333333333,25
"64988",200,100,0,88,0.1,"Zinck",0,0.4,12
"64989",200,100,0,89,0.1,"Zinck",0,0.466666666666667,14
"64990",200,100,0,90,0.1,"Zinck",0.0714285714285714,0.433333333333333,14
"64991",200,100,0,91,0.1,"Zinck",0.0833333333333333,0.366666666666667,12
"64992",200,100,0,92,0.1,"Zinck",0.304347826086957,0.533333333333333,23
"64993",200,100,0,93,0.1,"Zinck",0,0.166666666666667,5
"64994",200,100,0,94,0.1,"Zinck",0.0909090909090909,0.666666666666667,22
"64995",200,100,0,95,0.1,"Zinck",0,0.5,15
"64996",200,100,0,96,0.1,"Zinck",0.32,0.566666666666667,25
"64997",200,100,0,97,0.1,"Zinck",0.416666666666667,0.466666666666667,24
"64998",200,100,0,98,0.1,"Zinck",0.0555555555555556,0.566666666666667,18
"64999",200,100,0,99,0.1,"Zinck",0.333333333333333,0.733333333333333,33
"65000",200,100,0,100,0.1,"Zinck",0,0.433333333333333,13
"65001",200,100,0,1,0.15,"Zinck",0.238095238095238,0.533333333333333,21
"65002",200,100,0,2,0.15,"Zinck",0.176470588235294,0.466666666666667,17
"65003",200,100,0,3,0.15,"Zinck",0.0625,0.5,16
"65004",200,100,0,4,0.15,"Zinck",0.37037037037037,0.566666666666667,27
"65005",200,100,0,5,0.15,"Zinck",0.125,0.466666666666667,16
"65006",200,100,0,6,0.15,"Zinck",0.153846153846154,0.733333333333333,26
"65007",200,100,0,7,0.15,"Zinck",0.133333333333333,0.433333333333333,15
"65008",200,100,0,8,0.15,"Zinck",0.2,0.533333333333333,20
"65009",200,100,0,9,0.15,"Zinck",0,0.166666666666667,5
"65010",200,100,0,10,0.15,"Zinck",0.214285714285714,0.366666666666667,14
"65011",200,100,0,11,0.15,"Zinck",0.181818181818182,0.6,22
"65012",200,100,0,12,0.15,"Zinck",0.173913043478261,0.633333333333333,23
"65013",200,100,0,13,0.15,"Zinck",0.285714285714286,0.333333333333333,14
"65014",200,100,0,14,0.15,"Zinck",0.15,0.566666666666667,20
"65015",200,100,0,15,0.15,"Zinck",0,0.5,15
"65016",200,100,0,16,0.15,"Zinck",0,0.666666666666667,20
"65017",200,100,0,17,0.15,"Zinck",0,0.533333333333333,16
"65018",200,100,0,18,0.15,"Zinck",0.15,0.566666666666667,20
"65019",200,100,0,19,0.15,"Zinck",NA,NA,0
"65020",200,100,0,20,0.15,"Zinck",0.125,0.466666666666667,16
"65021",200,100,0,21,0.15,"Zinck",0.133333333333333,0.433333333333333,15
"65022",200,100,0,22,0.15,"Zinck",0.0714285714285714,0.433333333333333,14
"65023",200,100,0,23,0.15,"Zinck",0.117647058823529,0.5,17
"65024",200,100,0,24,0.15,"Zinck",0.347826086956522,0.5,23
"65025",200,100,0,25,0.15,"Zinck",0.525,0.633333333333333,40
"65026",200,100,0,26,0.15,"Zinck",0.0833333333333333,0.366666666666667,12
"65027",200,100,0,27,0.15,"Zinck",0.166666666666667,0.5,18
"65028",200,100,0,28,0.15,"Zinck",0.208333333333333,0.633333333333333,24
"65029",200,100,0,29,0.15,"Zinck",0.238095238095238,0.533333333333333,21
"65030",200,100,0,30,0.15,"Zinck",0.285714285714286,0.5,21
"65031",200,100,0,31,0.15,"Zinck",0.0476190476190476,0.666666666666667,21
"65032",200,100,0,32,0.15,"Zinck",0.527777777777778,0.566666666666667,36
"65033",200,100,0,33,0.15,"Zinck",0.272727272727273,0.533333333333333,22
"65034",200,100,0,34,0.15,"Zinck",0.166666666666667,0.5,18
"65035",200,100,0,35,0.15,"Zinck",0.1875,0.433333333333333,16
"65036",200,100,0,36,0.15,"Zinck",0.457142857142857,0.633333333333333,35
"65037",200,100,0,37,0.15,"Zinck",0.117647058823529,0.5,17
"65038",200,100,0,38,0.15,"Zinck",0.469387755102041,0.866666666666667,49
"65039",200,100,0,39,0.15,"Zinck",0.136363636363636,0.633333333333333,22
"65040",200,100,0,40,0.15,"Zinck",0.285714285714286,0.5,21
"65041",200,100,0,41,0.15,"Zinck",0.133333333333333,0.433333333333333,15
"65042",200,100,0,42,0.15,"Zinck",0.318181818181818,0.5,22
"65043",200,100,0,43,0.15,"Zinck",0,0.266666666666667,8
"65044",200,100,0,44,0.15,"Zinck",0.285714285714286,0.5,21
"65045",200,100,0,45,0.15,"Zinck",0.0526315789473684,0.6,19
