p,pos,u,sim,target_fdr,method,empirical_fdr,power,n_selected
200,100,0.5,83,0.15,DeepLINK,0.5357142857142857,0.4333333333333333,28
200,100,0.5,84,0.15,DeepLINK,0.375,0.5,24
200,100,0.5,85,0.15,DeepLINK,0.3333333333333333,0.4666666666666667,21
200,100,0.5,86,0.15,DeepLINK,0.375,0.3333333333333333,16
200,100,0.5,87,0.15,DeepLINK,0.4827586206896552,0.5,29
200,100,0.5,88,0.15,DeepLINK,0.5185185185185185,0.4333333333333333,27
200,100,0.5,89,0.15,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,90,0.15,DeepLINK,0.6491228070175439,0.6666666666666666,57
200,100,0.5,91,0.15,DeepLINK,0.4444444444444444,0.5,27
200,100,0.5,92,0.15,DeepLINK,0.4,0.4,20
200,100,0.5,93,0.15,DeepLINK,0.5,0.5666666666666667,34
200,100,0.5,94,0.15,DeepLINK,0.3181818181818182,0.5,22
200,100,0.5,95,0.15,DeepLINK,0.2857142857142857,0.3333333333333333,14
200,100,0.5,96,0.15,DeepLINK,0.2608695652173913,0.5666666666666667,23
200,100,0.5,97,0.15,DeepLINK,0.3793103448275862,0.6,29
200,100,0.5,98,0.15,DeepLINK,0.3823529411764705,0.7,34
200,100,0.5,99,0.15,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,100,0.15,DeepLINK,0.3870967741935484,0.6333333333333333,31
200,100,0.5,1,0.2,DeepLINK,0.6428571428571429,0.5,42
200,100,0.5,2,0.2,DeepLINK,0.5957446808510638,0.6333333333333333,47
200,100,0.5,3,0.2,DeepLINK,0.2307692307692307,0.3333333333333333,13
200,100,0.5,4,0.2,DeepLINK,0.3684210526315789,0.4,19
200,100,0.5,5,0.2,DeepLINK,0.3703703703703703,0.5666666666666667,27
200,100,0.5,6,0.2,DeepLINK,0.3703703703703703,0.5666666666666667,27
200,100,0.5,7,0.2,DeepLINK,0.56,0.7333333333333333,50
200,100,0.5,8,0.2,DeepLINK,0.4444444444444444,0.5,27
200,100,0.5,9,0.2,DeepLINK,0.5483870967741935,0.4666666666666667,31
200,100,0.5,10,0.2,DeepLINK,0.5777777777777777,0.6333333333333333,45
200,100,0.5,11,0.2,DeepLINK,0.4545454545454545,0.6,33
200,100,0.5,12,0.2,DeepLINK,0.64,0.6,50
200,100,0.5,13,0.2,DeepLINK,0.6097560975609756,0.5333333333333333,41
200,100,0.5,14,0.2,DeepLINK,0.4444444444444444,0.5,27
200,100,0.5,15,0.2,DeepLINK,0.4230769230769231,0.5,26
200,100,0.5,16,0.2,DeepLINK,0.6341463414634146,0.5,41
200,100,0.5,17,0.2,DeepLINK,0.1578947368421052,0.5333333333333333,19
200,100,0.5,18,0.2,DeepLINK,0.5,0.5,30
200,100,0.5,19,0.2,DeepLINK,0.375,0.5,24
200,100,0.5,20,0.2,DeepLINK,0.5185185185185185,0.4333333333333333,27
200,100,0.5,21,0.2,DeepLINK,0.6785714285714286,0.6,56
200,100,0.5,22,0.2,DeepLINK,0.525,0.6333333333333333,40
200,100,0.5,23,0.2,DeepLINK,0.4838709677419355,0.5333333333333333,31
200,100,0.5,24,0.2,DeepLINK,0.5434782608695652,0.7,46
200,100,0.5,25,0.2,DeepLINK,0.6097560975609756,0.5333333333333333,41
200,100,0.5,26,0.2,DeepLINK,0.5555555555555556,0.5333333333333333,36
200,100,0.5,27,0.2,DeepLINK,0.4893617021276595,0.8,47
200,100,0.5,28,0.2,DeepLINK,0.4137931034482758,0.5666666666666667,29
200,100,0.5,29,0.2,DeepLINK,0.5161290322580645,0.5,31
200,100,0.5,30,0.2,DeepLINK,0.6727272727272727,0.6,55
200,100,0.5,31,0.2,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,32,0.2,DeepLINK,0.5294117647058824,0.5333333333333333,34
200,100,0.5,33,0.2,DeepLINK,0.4814814814814814,0.4666666666666667,27
200,100,0.5,34,0.2,DeepLINK,0.4878048780487805,0.7,41
200,100,0.5,35,0.2,DeepLINK,0.4347826086956521,0.4333333333333333,23
200,100,0.5,36,0.2,DeepLINK,0.3714285714285714,0.7333333333333333,35
200,100,0.5,37,0.2,DeepLINK,0.5,0.3333333333333333,20
200,100,0.5,38,0.2,DeepLINK,0.4516129032258064,0.5666666666666667,31
200,100,0.5,39,0.2,DeepLINK,0.56,0.7333333333333333,50
200,100,0.5,40,0.2,DeepLINK,0.6363636363636364,0.5333333333333333,44
200,100,0.5,41,0.2,DeepLINK,0.5172413793103449,0.4666666666666667,29
200,100,0.5,42,0.2,DeepLINK,0.3333333333333333,0.5333333333333333,24
200,100,0.5,43,0.2,DeepLINK,0.4,0.5,25
200,100,0.5,44,0.2,DeepLINK,0.5384615384615384,0.4,26
200,100,0.5,45,0.2,DeepLINK,0.4814814814814814,0.4666666666666667,27
200,100,0.5,46,0.2,DeepLINK,0.3333333333333333,0.4666666666666667,21
200,100,0.5,47,0.2,DeepLINK,0.4615384615384615,0.4666666666666667,26
200,100,0.5,48,0.2,DeepLINK,0.1666666666666666,0.1666666666666666,6
200,100,0.5,49,0.2,DeepLINK,0.4193548387096774,0.6,31
200,100,0.5,50,0.2,DeepLINK,0.48,0.4333333333333333,25
200,100,0.5,51,0.2,DeepLINK,0.3181818181818182,0.5,22
200,100,0.5,52,0.2,DeepLINK,0.35,0.4333333333333333,20
200,100,0.5,53,0.2,DeepLINK,0.6216216216216216,0.4666666666666667,37
200,100,0.5,54,0.2,DeepLINK,0.5277777777777778,0.5666666666666667,36
200,100,0.5,55,0.2,DeepLINK,0.4444444444444444,0.6666666666666666,36
200,100,0.5,56,0.2,DeepLINK,0.5333333333333333,0.4666666666666667,30
200,100,0.5,57,0.2,DeepLINK,0.5142857142857142,0.5666666666666667,35
200,100,0.5,58,0.2,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,59,0.2,DeepLINK,0.4074074074074074,0.5333333333333333,27
200,100,0.5,60,0.2,DeepLINK,0.5294117647058824,0.5333333333333333,34
200,100,0.5,61,0.2,DeepLINK,0.5609756097560976,0.6,41
200,100,0.5,62,0.2,DeepLINK,0.4193548387096774,0.6,31
200,100,0.5,63,0.2,DeepLINK,0.2777777777777778,0.4333333333333333,18
200,100,0.5,64,0.2,DeepLINK,0.5957446808510638,0.6333333333333333,47
200,100,0.5,65,0.2,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,66,0.2,DeepLINK,0.2666666666666666,0.3666666666666666,15
200,100,0.5,67,0.2,DeepLINK,0.5,0.5,30
200,100,0.5,68,0.2,DeepLINK,0.3928571428571428,0.5666666666666667,28
